nivel,codigo_municipio,nome_municipio,uf,ano,forma_declaracao_idade,sexo,faixa_etaria,populacao
MU,2501807,Bayeux,PB,2022,Total,Mulheres,25 anos,670.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,26 anos,611.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,27 anos,660.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,28 anos,588.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,29 anos,593.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,30 a 34 anos,3016.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,30 anos,589.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,31 anos,541.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,32 anos,617.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,33 anos,611.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,34 anos,658.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,35 a 39 anos,3309.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,35 anos,661.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,36 anos,723.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,37 anos,622.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,38 anos,664.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,39 anos,639.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,40 a 44 anos,3553.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,40 anos,749.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,41 anos,752.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,42 anos,698.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,43 anos,683.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,44 anos,671.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,45 a 49 anos,3195.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,45 anos,664.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,46 anos,657.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,47 anos,635.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,48 anos,608.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,49 anos,631.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,50 a 54 anos,3080.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,50 anos,592.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,51 anos,632.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,52 anos,617.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,53 anos,637.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,54 anos,602.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,55 a 59 anos,2670.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,55 anos,569.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,56 anos,567.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,57 anos,523.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,58 anos,521.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,59 anos,490.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,60 a 64 anos,1950.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,60 anos,444.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,61 anos,398.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,62 anos,425.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,63 anos,356.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,64 anos,327.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,65 a 69 anos,1493.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,65 anos,322.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,66 anos,298.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,67 anos,287.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,68 anos,315.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,69 anos,271.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,70 a 74 anos,1322.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,70 anos,280.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,71 anos,278.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,72 anos,276.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,73 anos,226.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,74 anos,262.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,75 a 79 anos,863.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,75 anos,196.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,76 anos,177.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,77 anos,182.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,78 anos,165.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,79 anos,143.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,80 a 84 anos,573.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,80 anos,146.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,81 anos,107.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,82 anos,121.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,83 anos,108.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,84 anos,91.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,85 a 89 anos,298.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,85 anos,81.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,86 anos,77.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,87 anos,71.0
MU,2501807,Bayeux,PB,2022,Total,Mulheres,88 anos,30.0
