codigo_municipio,nome_municipio,uf,ano,forma_declaracao_idade,sexo,faixa_etaria,populacao
,Caaporã,PB,2022,Total,Total,35 anos,310.0
,Caaporã,PB,2022,Total,Total,36 anos,324.0
,Caaporã,PB,2022,Total,Total,37 anos,335.0
,Caaporã,PB,2022,Total,Total,38 anos,370.0
,Caaporã,PB,2022,Total,Total,39 anos,356.0
,Caaporã,PB,2022,Total,Total,40 anos,379.0
,Caaporã,PB,2022,Total,Total,41 anos,336.0
,Caaporã,PB,2022,Total,Total,42 anos,354.0
,Caaporã,PB,2022,Total,Total,43 anos,304.0
,Caaporã,PB,2022,Total,Total,44 anos,272.0
,Caaporã,PB,2022,Total,Total,45 anos,305.0
,Caaporã,PB,2022,Total,Total,46 anos,315.0
,Caaporã,PB,2022,Total,Total,47 anos,281.0
,Caaporã,PB,2022,Total,Total,48 anos,286.0
,Caaporã,PB,2022,Total,Total,49 anos,275.0
,Caaporã,PB,2022,Total,Total,50 anos,254.0
,Caaporã,PB,2022,Total,Total,51 anos,233.0
,Caaporã,PB,2022,Total,Total,52 anos,238.0
,Caaporã,PB,2022,Total,Total,53 anos,241.0
,Caaporã,PB,2022,Total,Total,54 anos,203.0
,Caaporã,PB,2022,Total,Total,55 anos,203.0
,Caaporã,PB,2022,Total,Total,56 anos,218.0
,Caaporã,PB,2022,Total,Total,57 anos,188.0
,Caaporã,PB,2022,Total,Total,58 anos,169.0
,Caaporã,PB,2022,Total,Total,59 anos,183.0
,Caaporã,PB,2022,Total,Total,60 anos,182.0
,Caaporã,PB,2022,Total,Total,61 anos,134.0
,Caaporã,PB,2022,Total,Total,62 anos,161.0
,Caaporã,PB,2022,Total,Total,63 anos,170.0
,Caaporã,PB,2022,Total,Total,64 anos,121.0
,Caaporã,PB,2022,Total,Total,65 anos,151.0
,Caaporã,PB,2022,Total,Total,66 anos,111.0
,Caaporã,PB,2022,Total,Total,67 anos,113.0
,Caaporã,PB,2022,Total,Total,68 anos,108.0
,Caaporã,PB,2022,Total,Total,69 anos,103.0
,Caaporã,PB,2022,Total,Total,70 anos,87.0
,Caaporã,PB,2022,Total,Total,71 anos,80.0
,Caaporã,PB,2022,Total,Total,72 anos,100.0
,Caaporã,PB,2022,Total,Total,73 anos,61.0
,Caaporã,PB,2022,Total,Total,74 anos,69.0
,Caaporã,PB,2022,Total,Total,75 anos,61.0
,Caaporã,PB,2022,Total,Total,76 anos,49.0
,Caaporã,PB,2022,Total,Total,77 anos,64.0
,Caaporã,PB,2022,Total,Total,78 anos,51.0
,Caaporã,PB,2022,Total,Total,79 anos,33.0
,Caaporã,PB,2022,Total,Total,80 anos,48.0
,Caaporã,PB,2022,Total,Total,81 anos,43.0
,Caaporã,PB,2022,Total,Total,82 anos,26.0
,Caaporã,PB,2022,Total,Total,83 anos,25.0
,Caaporã,PB,2022,Total,Total,84 anos,28.0
,Caaporã,PB,2022,Total,Total,85 anos,35.0
,Caaporã,PB,2022,Total,Total,86 anos,20.0
,Caaporã,PB,2022,Total,Total,87 anos,14.0
,Caaporã,PB,2022,Total,Total,88 anos,17.0
,Caaporã,PB,2022,Total,Total,89 anos,10.0
,Caaporã,PB,2022,Total,Total,90 anos,5.0
,Caaporã,PB,2022,Total,Total,91 anos,7.0
,Caaporã,PB,2022,Total,Total,92 anos,10.0
,Caaporã,PB,2022,Total,Total,93 anos,6.0
,Caaporã,PB,2022,Total,Total,94 anos,2.0
,Caaporã,PB,2022,Total,Total,95 anos,1.0
,Caaporã,PB,2022,Total,Total,96 anos,6.0
,Caaporã,PB,2022,Total,Total,97 anos,1.0
,Caaporã,PB,2022,Total,Total,98 anos,4.0
,Caaporã,PB,2022,Total,Total,99 anos,2.0
,Caaporã,PB,2022,Total,Total,100 anos ou mais,3.0
,Cabedelo,PB,2022,Total,Total,18 anos,978.0
,Cabedelo,PB,2022,Total,Total,19 anos,942.0
,Cabedelo,PB,2022,Total,Total,20 anos,980.0
,Cabedelo,PB,2022,Total,Total,21 anos,1050.0
,Cabedelo,PB,2022,Total,Total,22 anos,1111.0
,Cabedelo,PB,2022,Total,Total,23 anos,1035.0
,Cabedelo,PB,2022,Total,Total,24 anos,985.0
,Cabedelo,PB,2022,Total,Total,25 anos,973.0
,Cabedelo,PB,2022,Total,Total,26 anos,1022.0
,Cabedelo,PB,2022,Total,Total,27 anos,962.0
,Cabedelo,PB,2022,Total,Total,28 anos,985.0
,Cabedelo,PB,2022,Total,Total,29 anos,937.0
,Cabedelo,PB,2022,Total,Total,30 anos,931.0
,Cabedelo,PB,2022,Total,Total,31 anos,868.0
,Cabedelo,PB,2022,Total,Total,32 anos,903.0
,Cabedelo,PB,2022,Total,Total,33 anos,985.0
,Cabedelo,PB,2022,Total,Total,34 anos,979.0
,Cabedelo,PB,2022,Total,Total,35 anos,1108.0
,Cabedelo,PB,2022,Total,Total,36 anos,1042.0
,Cabedelo,PB,2022,Total,Total,37 anos,1070.0
,Cabedelo,PB,2022,Total,Total,38 anos,1076.0
,Cabedelo,PB,2022,Total,Total,39 anos,1114.0
,Cabedelo,PB,2022,Total,Total,40 anos,1185.0
,Cabedelo,PB,2022,Total,Total,41 anos,1098.0
,Cabedelo,PB,2022,Total,Total,42 anos,1134.0
,Cabedelo,PB,2022,Total,Total,43 anos,1018.0
,Cabedelo,PB,2022,Total,Total,44 anos,941.0
,Cabedelo,PB,2022,Total,Total,45 anos,987.0
,Cabedelo,PB,2022,Total,Total,46 anos,992.0
,Cabedelo,PB,2022,Total,Total,47 anos,894.0
,Cabedelo,PB,2022,Total,Total,48 anos,894.0
,Cabedelo,PB,2022,Total,Total,49 anos,937.0
,Cabedelo,PB,2022,Total,Total,50 anos,918.0
,Cabedelo,PB,2022,Total,Total,51 anos,817.0
,Cabedelo,PB,2022,Total,Total,52 anos,891.0
,Cabedelo,PB,2022,Total,Total,53 anos,785.0
,Cabedelo,PB,2022,Total,Total,54 anos,793.0
,Cabedelo,PB,2022,Total,Total,55 anos,763.0
,Cabedelo,PB,2022,Total,Total,56 anos,770.0
,Cabedelo,PB,2022,Total,Total,57 anos,776.0
,Cabedelo,PB,2022,Total,Total,58 anos,735.0
,Cabedelo,PB,2022,Total,Total,59 anos,708.0
,Cabedelo,PB,2022,Total,Total,60 anos,711.0
,Cabedelo,PB,2022,Total,Total,61 anos,642.0
,Cabedelo,PB,2022,Total,Total,62 anos,619.0
,Cabedelo,PB,2022,Total,Total,63 anos,603.0
,Cabedelo,PB,2022,Total,Total,64 anos,517.0
,Cabedelo,PB,2022,Total,Total,65 anos,571.0
,Cabedelo,PB,2022,Total,Total,66 anos,491.0
,Cabedelo,PB,2022,Total,Total,67 anos,465.0
,Cabedelo,PB,2022,Total,Total,68 anos,434.0
,Cabedelo,PB,2022,Total,Total,69 anos,329.0
,Cabedelo,PB,2022,Total,Total,70 anos,416.0
,Cabedelo,PB,2022,Total,Total,71 anos,308.0
,Cabedelo,PB,2022,Total,Total,72 anos,354.0
,Cabedelo,PB,2022,Total,Total,73 anos,309.0
,Cabedelo,PB,2022,Total,Total,74 anos,272.0
,Cabedelo,PB,2022,Total,Total,75 anos,252.0
,Cabedelo,PB,2022,Total,Total,76 anos,231.0
,Cabedelo,PB,2022,Total,Total,77 anos,210.0
,Cabedelo,PB,2022,Total,Total,78 anos,191.0
,Cabedelo,PB,2022,Total,Total,79 anos,177.0
,Cabedelo,PB,2022,Total,Total,80 anos,148.0
,Cabedelo,PB,2022,Total,Total,81 anos,130.0
,Cabedelo,PB,2022,Total,Total,82 anos,154.0
